"FIPS","State","County","Cancer","HeartDis","Injury","Homicide","Poor.Health","Diabetes","PhysicianShortage.Score","BroadBand.Score","Structural.Score","RaD.Score","Telehealth.Score.Raw","Score.adj","Telehealth.Score.Raw.Adj","Telehealth.Score.Final","CHSI.Score"
"13201","GA","Miller",4.98243372724369,6.90514212711594,NA,NA,7.42675159235669,9.11464968152866,NA,4.33333333333333,6.95626477541371,6.03821656050955,45.7567917975016,10.196597540477,55.9533893379786,62.2971683105313,11.8875758543596
"13205","GA","Mitchell",7.2436921111466,8.00383264132865,0.752089136490251,NA,9.37261146496815,9.6687898089172,NA,5.25177304964539,NA,4.64543524416136,44.9382234566576,17.093443013047,62.0316664697046,74.7375119312758,15.9996138889655
"13207","GA","Monroe",6.06834877036091,8.54040242733951,6.72980501392758,NA,5.09872611464968,7.64012738853503,NA,1.05673758865248,6.95626477541371,4.17409766454352,46.2645097434224,16.270897161366,62.5354069047884,75.9465478841871,21.338556211628
"13209","GA","Montgomery",6.65282657297988,8.77355477483232,NA,NA,7.58917197452229,8.21019108280255,NA,2.43617021276596,NA,NA,33.661914617903,14.4039634384081,48.0658780563111,45.5615653833917,15.4263813478122
"13211","GA","Morgan",7.2436921111466,8.04535292238901,NA,NA,4.88853503184713,7.64012738853503,NA,3.84751773049645,6.95626477541371,4.64543524416136,43.2669252039893,15.9674675453548,59.2343927493441,69.2968501431753,15.2890450335356
"13213","GA","Murray",2.53593101245608,2.1750239540083,4.49025069637883,NA,6.92993630573248,5.36624203821656,NA,7.61347517730496,1.31205673758865,1.31210191082803,31.7350178325139,16.5215857734907,48.2566036060046,46.1024498886414,9.20120566284322
"13215","GA","Muscogee",7.94953688917279,9.02267646119451,8.61281337047354,8.98989898989899,6.92993630573248,7.94585987261146,NA,10,9.08983451536643,8.68789808917198,77.2284544936222,11.1745419728417,88.4029964664639,98.7591473114858,34.5749257107398
"13217","GA","Newton",8.03896518684127,6.90514212711594,4.17827298050139,7.17171717171717,6.18471337579618,6.51273885350319,NA,10,6.95626477541371,4.17409766454352,60.1219121354324,11.5344320801858,71.6563442156182,89.945911549475,26.2940974661758
"13219","GA","Oconee",8.16033216224848,6.08431810923028,NA,NA,0.907643312101911,1.62101910828025,NA,6.61702127659574,NA,NA,23.3903339684567,24.2849456400131,47.6752796084698,44.7343302577156,14.2446502714788
"13221","GA","Oglethorpe",8.03896518684127,7.16384541679974,NA,NA,4.04777070063694,6.51273885350319,4.55516014234875,2.20567375886525,NA,NA,32.5241540589951,18.3023331448025,50.8264872037976,51.0658606426981,15.202810603641
"13223","GA","Paulding",6.25359310124561,6.29830725007985,4.81894150417827,NA,3.26433121019108,1.62101910828025,NA,7.47163120567376,6.95626477541371,1.03184713375796,37.7159352888205,20.4733317183101,58.1892670071306,67.1651288577792,17.3708418555037
