"","State_FIPS_Code","County_FIPS_Code","Premature.death.Value","Poor.or.fair.health.Value","Poor.physical.health.days.Value","Poor.mental.health.days.Value","Low.birthweight.Value","Adult.smoking.Value","Adult.obesity.Value","Food.environment.index.Value","Physical.inactivity.Value","Access.to.exercise.opportunities.Value","Excessive.drinking.Value","Alcohol.impaired.driving.deaths.Value","Sexually.transmitted.infections.Value","Teen.births.Value","Primary.care.physicians.Value","Mental.health.providers.Value","Preventable.hospital.stays.Value","Population.estimate.Value","Percent.of.population.below.18.years.of.age","Percent.of.population.aged.65.years.and.older","Percent.of.population.that.is.non.Hispanic.African.American","Percent.of.population.that.is.American.Indian.or.Alaskan.Native","Percent.of.population.that.is.Asian","Percent.of.population.that.is.Native.Hawaiian.or.Other.Pacific.Islander","Percent.of.population.that.is.Hispanic","Percent.of.population.that.is.non.Hispanic.White","Population.that.is.not.proficient.in.English.Value","Percent.of.population.that.is.female","Population.living.in.a.rural.area.Value","Diabetes.Value","Other.primary.care.providers.Value"
"803","19","001","6,153",0.106,2.7,2.8,0.07,0.149,0.31,8.4,0.297,0.444,0.189,0.278,"106.9",19.6,40,"13",42.01,"7,454",0.221,0.221,0.003,0.002,0.005,0,0.017,0.968,0,0.509,1,0.099,"80"
"804","19","003","6,976",0.114,2.9,2.9,0.09,0.158,0.323,8.4,0.284,0.048,0.188,0.143,"179.0",25,26,"",44.48,"3,875",0.214,0.22,0.003,0.004,0.006,0,0.011,0.969,0,0.499,1,0.103,"52"
"805","19","005","5,872",0.12,2.9,2.9,0.06,0.164,0.303,7.8,0.248,0.613,0.188,0.467,"49.2",35.7,49,"28",46.65,"14,038",0.225,0.213,0.013,0.006,0.005,0.003,0.057,0.915,0.016,0.488,0.74,0.105,"36"
"806","19","007","8,065",0.134,3.2,3.1,0.07,0.174,0.315,7.3,0.335,0.467,0.178,0.25,"220.5",46,63,"71",68.83,"12,661",0.224,0.214,0.006,0.003,0.004,0.001,0.015,0.962,0.004,0.506,0.583,0.108,"24"
"807","19","009","6,755",0.114,2.9,2.8,0.07,0.16,0.329,8.4,0.284,0.603,0.18,0.2,"338.4",26.5,34,"",44.33,"5,794",0.202,0.243,0.003,0.002,0.005,0,0.011,0.973,0.001,0.516,1,0.108,"173"
"808","19","011","4,781",0.106,2.7,2.8,0.07,0.168,0.332,8.3,0.281,0.646,0.205,0.414,"240.1",18,16,"8",53.52,"25,680",0.238,0.169,0.005,0.002,0.003,0,0.013,0.967,0.006,0.503,0.807,0.089,"62"
"809","19","013","6,326",0.139,3.1,3,0.08,0.17,0.288,7,0.244,0.798,0.224,0.208,"665.3",25.8,97,"117",47.79,"132,897",0.215,0.148,0.088,0.003,0.02,0.002,0.042,0.827,0.013,0.511,0.135,0.089,"93"
"810","19","015","5,816",0.122,3,2.9,0.07,0.179,0.316,8.2,0.263,0.675,0.2,0.208,"263.4",26.3,42,"87",78.27,"26,433",0.227,0.17,0.011,0.004,0.005,0,0.024,0.946,0.002,0.497,0.506,0.094,"30"
"811","19","017","4,400",0.101,2.6,2.7,0.07,0.153,0.316,8.7,0.246,0.754,0.22,0.2,"290.0",10,61,"93",43.53,"24,721",0.218,0.184,0.009,0.001,0.009,0,0.014,0.958,0.001,0.508,0.645,0.085,"77"
"812","19","019","5,872",0.107,2.7,2.8,0.06,0.157,0.329,8.2,0.269,0.46,0.211,0.25,"210.1",24.3,48,"128",57.85,"21,038",0.266,0.162,0.004,0.002,0.004,0,0.014,0.966,0.005,0.502,0.685,0.089,"43"
"813","19","021","6,338",0.134,2.9,2.7,0.06,0.158,0.307,8.5,0.248,0.706,0.179,0.056,"242.8",44.6,44,"39",31.57,"20,578",0.253,0.146,0.025,0.006,0.084,0.009,0.248,0.626,0.115,0.494,0.439,0.096,"29"
"814","19","023","5,311",0.103,2.7,2.8,0.06,0.154,0.327,7.3,0.288,0.377,0.188,0.286,"266.9",16.9,20,"53",44.03,"15,006",0.236,0.21,0.003,0.001,0.004,0,0.011,0.971,0.002,0.505,1,0.097,"47"
"815","19","025","7,376",0.13,3.1,3,0.07,0.176,0.331,6.9,0.248,0.473,0.184,0.3,"292.7",28.2,60,"30",53.44,"9,866",0.206,0.223,0.019,0.004,0.003,0,0.02,0.946,0.002,0.486,1,0.108,"101"
"816","19","027","5,533",0.111,2.7,2.9,0.05,0.164,0.296,8.6,0.252,0.705,0.197,0.222,"256.9",26,92,"63",43.95,"20,562",0.241,0.192,0.007,0.003,0.005,0,0.023,0.955,0.001,0.514,0.52,0.091,"83"
"817","19","029","7,650",0.13,3,3,0.06,0.17,0.321,7.6,0.256,0.659,0.178,0.15,"233.2",35.9,59,"164",38.09,"13,448",0.226,0.215,0.003,0.005,0.003,0.004,0.024,0.957,0.004,0.507,0.536,0.109,"104"
"818","19","031","4,544",0.111,2.7,2.8,0.06,0.159,0.328,8.5,0.315,0.69,0.202,0.125,"228.1",16.1,27,"",45.71,"18,411",0.229,0.184,0.005,0.002,0.007,0,0.018,0.959,0.002,0.505,0.834,0.096,"65"
"819","19","033","5,987",0.123,3.1,3,0.07,0.173,0.314,7.8,0.279,0.885,0.2,0.136,"159.9",26.5,179,"213",52.1,"43,254",0.205,0.197,0.013,0.003,0.011,0,0.043,0.916,0.006,0.51,0.206,0.101,"127"
"820","19","035","6,836",0.114,2.9,2.9,0.06,0.154,0.357,8.4,0.298,0.49,0.182,0.091,"242.8",30.9,59,"93",74.74,"11,836",0.21,0.224,0.009,0.003,0.006,0.002,0.032,0.942,0.006,0.504,0.614,0.104,"152"
"821","19","037","4,768",0.125,3,3,0.04,0.177,0.306,7.9,0.244,0.573,0.198,0.083,"122.2",19.2,49,"65",56.09,"12,264",0.238,0.194,0.004,0.001,0.003,0,0.023,0.962,0.006,0.5,0.735,0.103,"33"
"822","19","039","8,407",0.151,3.3,3.1,0.08,0.191,0.296,8.2,0.275,0.652,0.181,0,"362.9",53.7,43,"22",48.49,"9,217",0.243,0.176,0.008,0.007,0.007,0.001,0.121,0.852,0.03,0.498,0.481,0.109,"65"
"823","19","041","6,266",0.115,2.9,2.8,0.05,0.154,0.306,8.4,0.251,0.729,0.196,0,"222.9",32.8,67,"218",55.96,"16,515",0.228,0.196,0.007,0.003,0.007,0,0.032,0.943,0.009,0.509,0.343,0.097,"139"
"824","19","043","5,017",0.121,3,2.9,0.06,0.16,0.346,7.6,0.288,0.531,0.191,0.227,"117.7",16.7,23,"11",57.86,"17,692",0.222,0.209,0.007,0.001,0.003,0.001,0.019,0.962,0.005,0.497,0.966,0.104,"34"
"825","19","045","6,893",0.125,3.1,3.2,0.07,0.18,0.312,7.6,0.275,0.69,0.208,0.231,"351.0",40.9,54,"110",48.39,"48,051",0.227,0.183,0.031,0.003,0.006,0,0.029,0.915,0.004,0.509,0.322,0.1,"56"
"826","19","047","5,482",0.173,3.4,3.1,0.07,0.165,0.325,8.3,0.314,0.55,0.178,0.357,"317.8",40.2,34,"70",41.39,"17,228",0.255,0.169,0.019,0.012,0.017,0.002,0.273,0.685,0.087,0.49,0.518,0.112,"52"
"827","19","049","3,781",0.108,2.6,2.6,0.07,0.159,0.311,9,0.27,0.745,0.211,0.286,"161.2",18.7,55,"43",41.5,"77,400",0.286,0.112,0.017,0.004,0.036,0.001,0.063,0.87,0.02,0.51,0.306,0.074,"16"
"828","19","051","6,392",0.158,3.6,3.4,0.04,0.195,0.306,7.4,0.308,0.442,0.184,0.2,"195.6",21.9,57,"11",39.02,"8,781",0.289,0.175,0.002,0.002,0.003,0,0.012,0.972,0.007,0.506,1,0.112,"68"
"829","19","053","7,332",0.154,3.5,3.4,0.07,0.193,0.307,7.5,0.249,0.37,0.19,0.182,"169.6",26.5,49,"230",58.88,"8,263",0.218,0.183,0.019,0.005,0.009,0.002,0.026,0.93,0.008,0.498,1,0.101,"97"
"830","19","055","5,432",0.114,2.8,2.8,0.06,0.159,0.32,8.4,0.286,0.638,0.193,0.25,"318.7",22.9,40,"92",55.35,"17,398",0.238,0.181,0.004,0.001,0.003,0,0.011,0.974,0.002,0.5,0.715,0.096,"75"
"831","19","057","7,897",0.149,3.2,3.1,0.07,0.189,0.316,7.3,0.268,0.834,0.187,0.333,"461.1",45.4,72,"147",57.21,"40,255",0.23,0.188,0.057,0.003,0.009,0.001,0.029,0.88,0.002,0.509,0.267,0.107,"60"
"832","19","059","6,455",0.102,2.7,2.7,0.06,0.153,0.328,8.1,0.248,0.807,0.187,0,"135.5",24,88,"30",44.37,"16,935",0.191,0.242,0.003,0.003,0.006,0,0.017,0.964,0.003,0.502,0.35,0.099,"35"
"833","19","061","5,115",0.107,2.7,2.9,0.06,0.159,0.277,7.9,0.227,0.698,0.225,0.393,"390.1",25.3,73,"140",51.7,"96,370",0.231,0.162,0.029,0.002,0.014,0.003,0.022,0.919,0.004,0.506,0.27,0.087,"68"
"834","19","063","7,569",0.128,2.9,2.9,0.07,0.16,0.345,8,0.298,0.69,0.196,0.444,"286.6",29.7,60,"130",62.16,"9,990",0.216,0.192,0.008,0.015,0.006,0.001,0.104,0.869,0.036,0.493,0.399,0.098,"10"
"835","19","065","6,814",0.119,3,3,0.07,0.167,0.385,8.2,0.294,0.644,0.192,0.111,"101.0",26.8,39,"25",51.01,"20,343",0.212,0.204,0.012,0.002,0.008,0.001,0.022,0.946,0.002,0.499,0.706,0.101,"84"
